代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
6160,欣技,櫃,電腦及週邊設備業,1.01,15.6,36.9,-0.65,-2.18,-1.86,,2.12,38,-2,0,43.8,4.27,10.7,0.45
6161,捷波,櫃,電腦及週邊設備業,1.06,30.8,39.1,14.7,13.9,2.58,21.2,0.04,30.2,12,5.47,37.7,3.51,36.4,1.02
6163,華電網,櫃,通信網路業,1.08,30.7,31.4,4.66,4.48,-3.01,40.8,15.7,54.7,4,2.08,40.3,4.32,20.2,-0.27
6167,久正,櫃,光電業,1.01,20.4,34,8.73,6.28,-0.27,251,24.1,17,4,1.59,43.2,4.57,16.7,-0.15
6169,昱泉,櫃,文化創意業,0.51,4.7,36.4,-4.17,-6.01,-6.91,,40.3,38.8,-13,0,46.9,0.08,26.9,-2.02
6170,統振,櫃,通信網路業,0.82,49.7,48.1,16.3,16.3,4.31,13.6,15.1,62.7,6,6.09,28.9,4.53,31,2.57
6171,大城地產,櫃,建材營造業,0.69,30.1,30.1,19.7,20.7,12.1,3.49,"4,367",47.8,10,8.31,30.2,0.51,43.9,2.06
6173,信昌電,櫃,電子零組件業,1.15,82.7,35.3,7.22,7.19,0.59,23.1,10.9,17.7,11,2.92,35.3,1.82,45.2,5.41
6174,安碁,櫃,電子零組件業,0.81,10.6,34.8,9.79,7.1,-0.84,29.9,39,29.9,4,1.89,48.6,3.75,36.8,-0.94
6175,立敦,櫃,電子零組件業,1.24,61,31.9,13.1,12.8,2.54,13.6,-1.6,25.5,15,4.32,46,18.4,32.1,4.04
6179,亞通,櫃,其他業,0.98,40.5,30.4,-1.12,-0.11,2.06,38.2,49.8,68.8,11,1.44,42.1,5.24,9.16,-18
6180,橘子,櫃,文化創意業,0.59,109,30.3,21.8,24.2,-2.32,56.3,-22.2,40.3,8,9.69,25.4,27.2,18,4.77
6182,合晶,櫃,半導體業,1.32,180,28.2,8.11,5.38,0.18,,11.4,27,-1,0,46.6,9.23,5.58,-1.85
6185,幃翔,櫃,電子零組件業,0.78,24.8,37.4,2.32,2.04,-0.33,,32.2,14.5,22,1.81,33.9,2.09,23.6,2.06
6186,新潤,櫃,建材營造業,0.75,124,27.5,17.6,20.8,13.9,6.85,101,75.2,13,2.39,40.2,2,46.9,24.6
6187,萬潤,櫃,半導體業,1.54,364,29.3,18.6,20.6,6.17,22.3,20.6,37.2,12,2.72,54.3,13,20.3,14.9
6188,廣明,櫃,電腦及週邊設備業,1.38,341,26.6,10.3,9.42,2.33,42.8,17.3,34.2,23,2.86,46.1,6.55,33.5,13.1
6190,萬泰科,櫃,通信網路業,1.15,71.6,47.3,13.5,12.2,2.09,18.8,8.67,50.9,9,4.62,42.4,6.98,15.3,2.21
6194,育富,櫃,電子零組件業,0.91,16.1,42.6,6.25,7.93,0.33,10.7,5.27,22.6,25,6.25,30,4.21,26.9,1.16
6195,詩肯,櫃,居家生活,0.58,14.2,29.9,9.82,8.22,0.56,16,-0.8,64.3,15,5.31,22.2,45,6.42,4.72
6198,瑞築,櫃,建材營造業,0.63,51.1,26.9,1.16,-0.71,-0.04,,-93.6,23.3,-21,0,33.1,0.09,80.4,-6.54
6199,天品,櫃,其他業,0.65,63,32.5,1.88,2.8,-1.29,537,67.9,15.9,-5,0,57.5,4.98,41.2,2.07
6203,海韻電,櫃,電子零組件業,1,53.6,50,16.1,14.9,-2.83,43.7,42.7,29,24,5.38,41.3,2.89,10.3,8.12
6204,艾華,櫃,電子零組件業,1.12,15.2,55.6,48.1,48.9,1.15,52.2,4.16,32,24,0.46,47.5,1.33,30.1,0.24
6207,雷科,櫃,電子零組件業,1.41,48.6,37,8.72,8.62,-0.24,70.1,-6.31,56.3,23,2.46,52.2,4.03,16.3,8.63
6208,日揚,櫃,半導體業,0.78,46.1,28.3,13.4,12.3,2.14,16,-4.91,53,1,4.11,32.2,2.07,29.4,1.8
6210,慶生,櫃,電子零組件業,0.73,6.57,41,-13.7,-18.3,-9.23,,4.71,17.3,-2,0,39.1,0.28,5.17,-0.16
6212,理銘,櫃,建材營造業,0.56,43,47.9,14.9,16.8,1.74,6.15,-42.4,66.7,2,8.29,34.3,0.55,81.4,4.82
6217,中探針,櫃,電子零組件業,1.12,56.7,39.7,-1.39,-4.27,-2.93,,21.7,50.4,-1,0,45.2,3.35,5.66,-2.96
6218,豪勉,櫃,通信網路業,1.22,12.8,46.4,-2.03,-4.3,-1.29,,9.67,48.2,-1,0,46.5,1.54,8.83,1.09
6219,富旺,櫃,建材營造業,0.91,24.9,28.4,-7.07,6.61,-6.42,14.3,-99.5,86,1,0,41.4,1.97,57.8,-17.8
6220,岳豐,櫃,電子零組件業,0.72,27,42,6.75,1.68,-0.42,17.4,-18.8,68.3,11,3.79,30.2,3.37,21.6,1.32
6221,晉泰,櫃,資訊服務業,0.73,59.4,31.2,17.5,17.3,3.85,12.9,21.8,49.5,-2,0,38.7,0.89,77.2,11.8
6222,立軒,櫃,光電業,0.33,12.1,39.1,-2.58,-4.39,-0.58,,7.55,0.71,-20,0,29.1,0.04,40.3,-2.59
6223,旺矽,櫃,半導體業,1.6,"1,508",30.2,21.3,22.7,6.33,55.5,36.3,53.3,15,1,58.4,20.4,14.9,1.6
6227,茂綸,櫃,電子通路業,1.39,68.9,46.6,20,18.9,-0.73,17.3,54.8,65.7,24,4.2,61.2,12.3,68.7,-4.95
6228,全譜,櫃,電腦及週邊設備業,0.75,7.81,32,-12.1,-11.5,-6.41,,6.68,37.5,-21,0,68.3,0.24,66.8,-0.43
6229,研通,櫃,半導體業,1.13,10.6,33.6,5.02,3.57,-2.21,,26.2,57.5,24,3.81,40.9,1.68,16.9,-3.84
6231,系微,櫃,資訊服務業,1.27,128,27,27.8,28.4,4.95,42,6.21,46.3,18,2.31,51.6,13.3,17.1,8.53
6233,旺玖,櫃,半導體業,1.25,17.8,27.9,2.23,1.99,-0.6,183,-4.54,11.7,3,1.63,41.6,2.83,1.03,-0.11
6234,高僑,櫃,光電業,1.11,25.2,35.4,5.14,4.61,-3.11,,-33.7,36.3,14,1.79,46.7,10.9,22.8,0.72
6236,中湛,櫃,其他業,0.08,11.8,28,-16,-14.9,0,2830,-17,8.69,-26,0,32.3,0.02,88.4,0.2
6237,驊訊,櫃,半導體業,1.41,36.2,33.8,-4.92,-3.94,-3.95,,9.07,6.69,14,0.55,53.4,3.03,5.7,-2.32
6240,松崗,櫃,資訊服務業,0.51,4.4,28.4,4.22,2.34,-3.77,,-3.61,58,-22,0,32.4,0.24,53.3,0.46
6241,易通展,櫃,通信網路業,1.08,6.23,33.5,-8.43,-6.49,-6.49,,11.5,41.7,-10,0,50.9,0.58,36.5,-2.29
6242,立康,櫃,生技醫療業,0.64,13,40.4,16.7,14.3,3.03,15.2,7.42,25.5,10,4.88,25.3,0.55,61,3.74
6244,茂迪,櫃,光電業,1.07,69.7,44.3,5.91,5.62,0.13,54.5,-7.85,54.6,5,2,41.9,11.4,4.78,-0.77
6245,立端,櫃,通信網路業,1.16,122,38.9,20.2,18.2,1.82,15.9,-4.63,36.3,25,4.83,39.1,10.7,24.1,-1.38
6246,臺龍,櫃,光電業,0.79,5.87,42.9,-3.58,-6.53,4.36,,13.8,71.1,-2,0,56.1,1.42,25.9,1.8
6248,沛波,櫃,鋼鐵工業,0.62,20.2,41.3,17.2,15.2,1.44,15.2,-15.9,51.2,6,8.89,21.9,2.48,42.4,-11.9
6259,百徽,櫃,電子零組件業,0.54,4.3,31.8,6.22,5.34,-0.48,45,26.5,33.1,4,0,30.2,40.3,0.46,0.19
6261,久元,櫃,半導體業,0.58,78.9,34.2,9.12,8.17,0.62,20.3,-2.62,22.1,23,0,22.2,3.82,26.4,-4.32
6263,普萊德,櫃,通信網路業,0.81,90.3,32.7,31,31.4,8.39,17.1,2.75,39.2,23,5.47,26,1.59,29.5,8.87
6264,富裔,櫃,建材營造業,0.62,10.5,28.2,-18.9,-13,-3.43,,-73.9,78.7,-19,0,37.1,0.03,36.3,-4.91
6265,方土昶,櫃,電子通路業,1.02,15.2,27.7,-0.87,-0.67,-9.14,,16.9,10.3,-9,0,40,3.06,33.1,2.2
6266,泰詠,櫃,電子零組件業,0.6,46.5,35.6,15.5,15.2,2.48,13.9,2.36,35.9,15,5.91,20.9,3.44,19.2,-3.23
6270,倍微,櫃,電子通路業,1.04,16.7,32.9,5.38,3.82,0.39,20.1,9.09,32.5,24,4.32,33.3,2.1,7.43,2.51
6274,台燿,櫃,電子零組件業,1.27,825,51.3,12.6,14.2,4.96,29,26.7,48,22,2.23,49,28.6,7.2,4.38
6275,元山,櫃,電子零組件業,1.12,35.6,38.5,16.6,16.3,3.68,16,10.2,57.2,5,5.03,36.7,1.76,6.71,0.55
6276,安鈦克,櫃,電腦及週邊設備業,1.2,10.1,46.9,1.56,-2,-5.03,,31.7,65,-1,0,61.6,0.54,44.3,-0.92
6279,胡連,櫃,電子零組件業,0.9,155,48.2,18.1,18.2,1.11,12.8,13.5,43.1,25,4.6,33.6,17,7.02,0.25
6284,佳邦,櫃,電子零組件業,1.14,107,27.2,11.7,12.2,-0.69,16.1,7.98,47.9,12,3.76,35.7,2.88,43.6,0.39
6290,良維,櫃,電子零組件業,1.09,189,53,15.1,14.9,2.7,18.4,30.5,41.3,17,4.2,40.9,6.22,10.9,1.41
6291,沛亨,櫃,半導體業,1.1,66.8,33.7,23.5,20.9,0.81,45.8,9.03,38.5,3,3.65,58.2,0.17,44.4,5.02
6292,迅德,櫃,電子零組件業,0.75,19,39.3,17.7,17.3,-1.59,,-10.5,35.5,24,9.8,28.1,1.5,38.5,
6294,智基,櫃,文化創意業,0.62,13.8,28.7,24.1,19.6,10.5,26.6,-5.26,61.2,10,6.03,35.9,1.75,23.1,5.11
6411,晶焱,櫃,半導體業,1.1,75.3,19.7,8.91,8.55,0.94,21.4,-8.65,23.3,14,4.2,33.6,6.25,14.8,2.73
6417,韋僑,櫃,通信網路業,0.76,47.1,26.5,12.4,12.1,1.67,25.7,8.3,43,13,1.97,27,9.5,33.7,5.14
6418,詠昇,櫃,電子零組件業,1.06,17.6,37.6,7.56,7.86,3.96,49.1,-7.12,49.3,3,2.15,46.2,0.53,3.4,1.57
6419,京晨科,櫃,光電業,1.02,7.25,19.1,24.5,27.5,-8.01,12.7,-35,39.1,3,4.9,50.7,9.19,24.4,-0.03
6425,易發,櫃,電機機械,1.19,25.9,37.1,0.27,0.12,-5.1,,-30.6,57.6,13,1.88,58.1,1.54,22.9,-2.27
6432,今展科,櫃,電子零組件業,0.74,8.95,24.6,5.59,5.7,-3.17,154,9.48,40.3,12,5.05,26.5,1.18,12.7,7.89
6435,大中,櫃,半導體業,1.05,39.2,17.1,17.7,14.4,2.41,15.9,26.5,29.4,12,4.12,35.9,6.38,43.4,7.31
6441,廣錠,櫃,電腦及週邊設備業,0.97,14.6,13.8,-5.34,-7.28,-10.4,,-46.3,33.9,-5,0,48.3,1,33.1,-1.51
6461,益得,櫃,生技醫療業,0.85,29.5,14.9,-31.9,-33.6,-3.57,,238,58.6,-11,0,41.3,0.65,43.4,-2.58
6462,神盾,櫃,半導體業,1.4,116,17.7,-13.3,-13.6,-4.9,,17.7,46.2,-2,0,53.3,13.8,3.7,-37.3
6465,威潤,櫃,通信網路業,0.32,7.89,15.7,-25,-22.5,-3.69,,11.8,15.2,-6,0,45.8,0.17,56.4,0.43
6469,大樹,櫃,生技醫療業,0.7,202,24.3,24.1,21.7,4.47,27,10.7,73,12,2.44,33.5,7.69,40.2,-1.29
6470,宇智,櫃,通信網路業,1.02,15.5,21.3,17.8,15.4,-5.37,20.1,19.4,40.4,11,6.09,37.7,6.72,1.94,6.19
6482,弘煜科,櫃,文化創意業,0.47,11.8,15.9,18.7,19.3,0.98,11.3,4.19,26.9,3,2.43,40.7,4.64,49.6,3.63
6485,點序,櫃,半導體業,1.26,32.3,17.6,8.14,3.71,-0.61,549,17.2,18.2,6,0.7,56.6,9.66,6.61,5.68
6486,互動,櫃,通信網路業,0.53,37.8,22.4,16.3,15.9,2.79,14.5,-13.5,43.2,11,7.9,19.4,4.67,43.9,7.13
6488,環球晶,櫃,半導體業,1.23,"2,414",13.9,25.3,21.8,1.91,36.8,-2.28,58.9,11,2.18,44.3,15.3,48.2,-13.2
6492,生華科,櫃,生技醫療業,0.85,35.8,12.8,-21.6,-22.5,-6.01,,0,4.31,-12,0,40.3,4.87,21.4,-2.9
6494,九齊,櫃,半導體業,1.03,11.7,18.9,12.7,9.72,-5.02,,-20.4,19.4,11,6.38,34.7,5.58,8.62,4.66
6496,科懋,櫃,生技醫療業,0.68,14,37.2,-6.69,-7.8,-5.19,,0.23,36.7,-4,0,32.8,0.37,31.7,-5.7
6498,久禾光,櫃,光電業,,47.6,21.9,28.1,28.3,3.88,16.2,26.3,36.9,6,2.61,,0.61,50.3,6.11
6499,益安,櫃,生技醫療業,0.73,88.8,12.7,-33.1,-38.6,-15.2,,39.2,20.1,-2,0,55.4,12.6,41.3,-2.16
6506,雙邦,櫃,紡織纖維,0.73,13,35.8,7.28,4.69,0.67,29.8,1.51,50.9,16,5.06,33.2,1.24,9.5,1.49
6508,惠光,櫃,農業科技業,0.49,21.2,59.8,6.68,5.21,-1.03,98,-1.39,17.7,24,4.08,18,0.79,32.6,2.14
6509,聚和,櫃,化學工業,0.86,66.5,50.6,13.6,12.4,2.46,14.9,5.02,33.3,16,3.96,27.3,5.01,14.8,2.83
6510,精測,櫃,半導體業,1.39,520,20.1,5.33,4.74,2.59,60.1,59.7,13.8,12,0.49,57.5,24,36.1,31
6512,啟發電,櫃,其他電子業,0.47,5.28,19.5,-2.24,-4.21,-2.35,,-4.65,7.75,-2,0,33.1,0.14,17,0.34
6516,勤崴國際,櫃,資訊服務業,0.63,37.3,17.7,7.16,7.18,1.66,44.7,27.7,24.8,11,3.34,26.9,0.69,26.6,3.55
6517,保勝光學,櫃,光電業,0.89,21,55.1,21.6,20.3,-2.78,36.5,-3.93,20.2,4,2.18,55.1,6.89,11.8,7.55
6523,達爾膚,櫃,生技醫療業,0.5,56.3,22.5,27.7,29.4,-0.21,14.5,-0.92,22.4,11,4.8,21.9,4.96,60.2,12.1
6527,明達醫,櫃,生技醫療業,0.58,22,15.9,14.1,13.9,4.02,15.9,5.38,21.6,11,2.6,23.9,0.1,36.7,-0.98
6530,創威,櫃,通信網路業,1.42,21.6,23.4,10.9,11,2.63,37.2,19.4,21.4,10,2.42,57.9,7.47,0.43,3.79
6532,瑞耘,櫃,半導體業,1.13,22.8,27.5,16.1,15,-0.02,16.8,-1.13,20.8,11,4.26,39.6,3.75,13,4.72
6535,順藥,櫃,生技醫療業,1.05,527,24.9,-22.9,-22.9,-8.68,,-2.46,7.04,-11,0,66.2,5.76,49.4,-5.94
6538,倉和,櫃,電子零組件業,1.01,32.1,31.5,15.1,16.3,0.86,20.9,-36.8,45.6,12,8.32,35.4,3.41,14.7,15.2
6542,隆中,櫃,文化創意業,0.81,20.8,14.8,12.6,11.6,-1.1,707,-0.39,22.6,2,3.7,41.4,19,27.5,-0.77
6546,正基,櫃,通信網路業,1.31,52.5,24.8,18,15.2,-0.92,32.6,1.04,40.8,6,4.45,54.4,3.8,35,1.7
6547,高端疫苗,櫃,生技醫療業,0.65,129,12.9,-19.5,-14.8,-2.69,,2.13,11.4,-10,0,44.6,6.6,24.3,-2.72
6548,長科*,櫃,半導體業,0.78,337,15.7,21.2,19.1,1.08,22.3,12.3,53.1,11,3.83,29.7,4.79,66.4,2.14
6556,勝品,櫃,光電業,0.74,21.3,15,18.4,17.4,2.04,12.7,-23,30.8,10,5.67,32.8,0.68,53.8,4.54
6560,欣普羅,櫃,光電業,0.97,10.7,26,0.21,-1.08,-8.52,,147,9.84,-2,0,55.6,4.66,2.99,-1.39
6561,是方,櫃,通信網路業,0.79,335,34.7,27.1,27.5,10.7,27.5,11,55,10,2.91,30.7,10.4,62.7,7.07
6568,宏觀,櫃,半導體業,1.14,35.8,18.9,6.4,6.41,0.33,36.2,4.43,10.8,11,1.76,46,3.32,36.7,4.22
6569,醫揚,櫃,生技醫療業,1.06,50.8,15.6,15.3,14.3,1.56,41.1,13.9,31.2,11,3.05,41.1,3.08,55.6,3.12
6570,維田,櫃,電腦及週邊設備業,1.15,16.8,21.4,14.5,11.6,1.28,35.4,-2.21,40.9,10,3.31,40.5,2.25,25.7,-2.83
6574,霈方,櫃,生技醫療業,0.49,16.5,23,10.6,11.1,4.37,13.4,9.39,31,10,0,51.1,0.16,59.4,-0.08
6576,逸達,櫃,生技醫療業,0.78,128,12.6,-71.5,-77.8,-28.6,,47.4,37.9,-10,0,31.2,23.4,10.7,-9.53
6577,勁豐,櫃,電腦及週邊設備業,0.89,43.6,25.3,23.5,26.2,2.07,13.7,-8.88,45.9,11,8.26,35.2,1.53,73.4,3.39
6578,達邦蛋白,櫃,農業科技業,0.45,16.9,23.7,-4,-2.28,-1.39,,-16.9,16.2,3,1.7,30.1,2.22,39.2,-0.02
6584,南俊國際,櫃,電子零組件業,1.35,148,41.3,6.27,6.25,0.37,87.9,21.8,46.6,4,0.67,57.9,8.02,33.1,0.25
6588,東典光電,櫃,通信網路業,0.98,10.2,25.3,-10.7,-14.1,-4.06,,37.2,22.9,-3,0,49.1,0.98,32.6,-4.06
6590,普鴻,櫃,資訊服務業,0.48,17.7,25.2,17.9,17.5,5.75,15.4,16.2,31.7,9,3.44,27.5,0.08,49.6,6.31
6593,台灣銘板,櫃,資訊服務業,0.89,13.6,54.8,3.05,3.25,-3.2,,-32.9,19.1,9,0.91,57.1,1.77,37.4,1.11
6596,寬宏藝術,櫃,文化創意業,0.67,57.6,20.9,15.6,19.3,7.99,16.6,101,62.1,3,4.62,43.7,10.4,29.2,0.16
6597,立誠,櫃,電子零組件業,,16.2,14.7,14.9,17.6,-3.39,19.6,-12.8,30.9,4,4.88,,0.01,74,-4.93
6603,富強鑫,櫃,電機機械,0.82,28.3,34.2,3.68,2.94,-0.13,113,3.96,69.7,15,1.76,29.6,4.49,5.95,-1.09
6609,瀧澤科,櫃,電機機械,1.21,30.6,54.2,9.58,8.23,-2.91,47.4,-7.6,32.2,25,1.82,56.6,55.1,0.51,-3.71
6612,奈米醫材,櫃,生技醫療業,0.85,44.9,14.2,6.89,5.07,-1.5,42.9,43.2,41.9,8,0.32,35.3,26.5,14.7,-13.1
6613,朋億*,櫃,其他電子業,1.02,139,28.3,28.1,27.5,3.84,11,-11.2,45.2,10,6.65,40.4,7.38,58.4,27.5
6615,慧智,櫃,生技醫療業,0.73,6.6,13.3,3.95,3.3,-0.06,,-17.7,15.6,9,0.98,35.1,0.37,40.5,0.39
6616,特昇-KY,櫃,居家生活,0.49,3.55,9.3,-3.99,-7.71,-3.98,,-11,43.1,-2,0,24,56.7,0.18,1.9
6617,共信-KY,櫃,生技醫療業,1.11,133,11.5,-12.2,-8.45,-0.79,,11,8.69,-9,0,48.1,38.3,8.95,-9.89
6624,萬年清,櫃,綠能環保,0.23,7.2,26.6,5.96,5.19,-0.56,31.1,2.51,54.4,3,1.59,23.1,0.2,35.2,1.06
6629,泰金-KY,櫃,居家生活,0.82,45.6,9.6,21.6,24,-3.03,17.9,-12.6,31.9,7,3.53,42.1,77.1,5.21,1.49
6637,醫影,櫃,生技醫療業,0.78,22,33.4,23.1,22.9,7.71,10.6,78.1,38.4,8,4.42,43.7,0.23,49.2,-8.2
6640,均華,櫃,半導體業,1.38,207,14.9,18.7,19.8,7.1,58.1,20.2,67,9,2.05,59.4,3.46,67.9,-2.26
6642,富致,櫃,電子零組件業,0.82,20.9,25.8,11.5,11.1,0.92,20.4,7.6,28.2,8,4.47,30.2,0.93,56.6,0.69
6643,M31,櫃,半導體業,1.32,205,13.9,16.9,13.4,-2.23,,10,12.1,8,0.41,49.4,13.1,6.11,1.26
6649,台生材,櫃,生技醫療業,0.76,25.6,12.9,1.48,0.38,-0.99,95.2,130,9.86,-2,0,45.5,2.81,19.9,1.35
6651,全宇昕,櫃,半導體業,1.09,24.7,23.4,22.8,21.8,1.38,10.8,12.4,27.5,8,9.8,37.4,7.13,18.1,8.75
6654,天正國際,櫃,其他電子業,0.63,24.2,12.7,-3.96,-5.81,-4.97,,23.7,63.4,-2,0,33.5,0.47,72,-4.88
6661,威健生技,櫃,生技醫療業,0.62,5.2,22.6,0.77,0.29,-0.22,223,17.2,46.1,-2,0,37.2,0.05,60.7,0.79
6662,樂斯科,櫃,生技醫療業,0.28,8.58,24.4,9.93,10,3.04,17.4,-8.48,30.1,8,4.48,24.2,0.18,10.7,2.58
6664,群翊,櫃,電子零組件業,1.39,150,35.7,28.1,28.2,2.52,17.9,-1.66,60.3,8,4.01,47.7,3.57,25.5,-8.94
6667,信紘科,櫃,其他電子業,1.35,133,29.9,21.7,23.1,8.92,21.8,85.2,66.4,9,3.17,50.9,4.71,45.4,-16.2
6679,鈺太,櫃,半導體業,1.36,123,19.8,10.7,9.66,-1.8,55.5,-6.53,13.3,8,4.11,46,7.39,34.5,16.1
6680,鑫創電子,櫃,電腦及週邊設備業,0.84,16.2,16.5,17.1,17.2,-5.28,39.1,-21.4,65,8,4.48,36.2,0.27,53.8,-13.5
6683,雍智科技,櫃,半導體業,1.4,110,19,19.1,19,1.3,28,28.2,25.1,8,2.49,50.1,13,19.1,4.01
6684,安格,櫃,半導體業,1.27,27.1,14.9,-10.9,-14,-1.72,47.1,-16,8.17,-2,0,50.6,2.04,33.4,-0.13
6690,安碁資訊,櫃,數位雲端,0.92,54,25.3,13,12.2,2.56,21.1,12.5,36.2,7,3.33,33.1,4.06,62.8,13.5
6692,進能服,櫃,綠能環保,0.74,19.6,10.9,9.11,6.26,0.59,13.9,34.6,47.4,7,1.5,38.4,0.76,57.2,-0.67
6693,廣閎科,櫃,半導體業,0.65,27.4,17.9,9.26,9.27,-6.04,,27.8,37,5,3.34,30.7,9.57,26.7,-0.6
6697,東捷資訊,櫃,資訊服務業,0.81,13.6,34.8,11.7,12.1,4.63,15.9,15.2,38.4,7,4.23,40.4,0.27,64.3,2.93
6703,軒郁,櫃,生技醫療業,0.72,38.8,16.3,24.9,25.4,7.07,14.5,-14.9,43.5,7,8.51,37.7,11.9,27.8,13.2
6708,天擎,櫃,半導體業,0.94,11.7,24.6,-0.07,-1.91,-0.42,,51.6,10.2,-1,0,48.2,3.21,32.9,-0.76
6712,長聖,櫃,生技醫療業,0.62,144,8.8,20.2,21.8,7.51,35.5,14.4,25.5,4,3.12,22.3,3.89,29.5,7.07
6716,應廣,櫃,半導體業,0.93,15.3,20.6,16.5,15,1.19,33.8,-18.1,36.8,7,6.63,39.7,0.69,9.71,8.09
6720,久昌,櫃,半導體業,,40,14.1,14,17.7,0.64,26.2,-8.46,23.8,6,2.86,,0.81,25.2,8.06
6721,信實,櫃,其他業,0.3,13.9,17.1,14.3,14.8,3.97,12.8,9.11,45.3,7,4.86,18.4,0.04,39,1.61
6727,亞泰金屬,櫃,電子零組件業,1.03,50.1,51.9,15.3,13.5,1.9,48.4,-5.97,63.7,7,1.61,53.6,4.99,8.85,8.66
6728,上洋,櫃,居家生活,0.38,43.4,23.7,25.5,23.1,5.08,12,39.1,56.7,7,5.56,30.4,0.91,38.9,-17
6732,昇佳電子,櫃,半導體業,1.24,117,15.8,14.9,14,1.57,31.2,-6.14,23.2,6,4.19,44.3,3.43,48.3,25.1
6733,博晟生醫,櫃,生技醫療業,0.85,49,9.2,-19,-16.9,-3.25,,36.2,6.92,-6,0,39.2,0.5,40.9,0.6
6735,美達科技,櫃,其他電子業,1.01,37.5,23.4,7.99,7.42,-2.93,1015,-32.6,22,7,2.22,46.5,0.41,36.3,-1.11
6739,竹陞科技,櫃,其他電子業,1.27,182,8.2,17.1,19.3,9.48,86,93.2,31.1,3,0.64,67.1,2.47,34.6,-2.71
6741,91APP*-KY,櫃,數位雲端,0.89,97.7,12.2,15,15.5,3.23,19.2,10.2,39.3,4,2.15,33.8,49.6,11.1,12
6747,亨泰光,櫃,生技醫療業,0.51,53,49.4,15.9,14,-3.32,87.4,-0.15,11.7,6,4.71,27.2,0.91,45.7,8.88
6751,智聯服務,櫃,資訊服務業,0.91,9.97,8,9.11,6.93,2.48,57.6,18.3,39.1,6,2.23,45.3,0.11,62.8,-1.64
6752,叡揚,櫃,資訊服務業,0.88,50.5,38.5,19.2,19,6.51,18.4,16.8,48.7,6,2.72,47.4,3.05,24.7,5
6761,穩得,櫃,電子零組件業,1.17,55.2,46.2,15.9,15.7,3.02,22.9,3.09,35.7,6,3.56,44.4,4.32,34.5,0.35
6762,達亞,櫃,生技醫療業,0.65,77.5,20.8,8.96,6.95,0.08,144,38.4,55.8,6,0.14,27.5,5.22,38.7,2.24
6763,綠界科技*,櫃,數位雲端,1.07,107,29.3,17.3,15.3,3.59,26.3,6.88,59.1,7,1.64,54.2,1.71,56.2,1.88
6767,台微醫,櫃,生技醫療業,0.61,12.2,15.7,-4.76,-6.37,-1.3,,5.54,18.1,-6,0,31.4,0.25,45,-5.35
