代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
6785,昱展新藥,櫃,生技醫療業,0.95,141,9,17.2,16.6,-1.02,,,3.04,2,0.12,46.9,8.5,15.8,13.1
6788,華景電,櫃,半導體業,1.36,101,25,21.5,21.9,7.42,16.7,24.8,34.5,6,3.83,49.4,10,16.7,11.6
6791,虎門科技,櫃,資訊服務業,1.51,26.6,45.1,18.5,18.4,5.15,32,19.1,34.7,5,2.73,70,11.8,43.5,4.83
6803,崑鼎,櫃,綠能環保,0.26,206,25.8,20.6,20.5,5.25,16.2,14.9,57.2,18,5.37,11.6,3.14,56.8,-31.2
6804,明係,櫃,運動休閒,0.77,7.19,39.7,7.44,3,-5.07,,-31,42,5,4.87,32.5,5.25,36.6,-5.91
6811,宏碁資訊,櫃,數位雲端,1.04,103,13.6,28.6,27.5,6.95,18.3,12.6,67.3,5,3.82,39.9,2.22,68.4,14.8
6821,聯寶,櫃,電子零組件業,0.97,11.8,37,8.73,7.6,0.4,33.6,20.7,36.7,5,2.64,51.2,1.09,23.6,0.22
6823,濾能,櫃,半導體業,0.98,18.3,11.5,-5.16,-13.9,1.37,,37.6,47.2,-2,0,52.6,27.5,35.9,-8.31
6829,千附精密,櫃,半導體業,1.08,74,5.2,16.5,15.9,0.63,28.2,22.4,34.3,4,4,50.6,8.47,68.7,-0.71
6840,東研信超,櫃,其他電子業,0.67,20.7,37.9,4.59,1.48,0.86,402,4.54,38.9,1,0.44,37.4,0.74,39.3,-0.19
6841,長佳智能,櫃,生技醫療業,1.06,71.6,7.2,2.7,1.47,1.22,104,1.69,5.54,3,1.36,40.3,0.96,42.4,3.7
6843,進典,櫃,電機機械,0.55,20.3,47.1,15.4,13.7,1.48,25.7,3.28,43,5,3.28,31.5,0.21,61.8,2.78
6844,諾貝兒,櫃,生技醫療業,0.34,35.3,27.9,9.11,6.72,-0.27,35.9,2.11,37.4,4,5.4,21.4,0.01,44.2,-1.42
6846,綠茵,櫃,食品工業,0.54,20.9,13.2,20.6,19.3,2.25,14.6,6.77,51.4,5,4.65,24.5,0.13,58.7,-14.7
6855,數泓科,櫃,其他電子業,0.8,29.1,19.2,22.4,23.4,-2.25,19.6,6.61,37.8,5,4.8,38,0.47,54.8,9.76
6856,鑫傳,櫃,文化創意業,0.38,15.1,28.1,17.8,15.9,1.33,20.5,34.2,29.4,4,6.34,28.2,0.04,81.4,-1.92
6859,伯特光,櫃,光電業,1.09,47.3,21.9,9.26,7.71,-1.7,47.7,64.3,11.6,4,2.19,55.1,15,33.6,2.68
6865,偉康科技,櫃,數位雲端,0.69,8.12,27.3,11.9,9.98,2.68,23.1,-4.39,38,4,1.93,50.9,0.13,46.1,4.72
6870,騰雲,櫃,數位雲端,1.02,57.8,9.5,10.8,10.4,1.54,47.9,22.6,50.7,5,1.74,53.2,1.18,61.1,-28
6872,浩宇生醫,櫃,生技醫療業,,14.9,10.5,-15.9,-17.6,-6.05,,-41.6,7.19,-4,0,,0.33,43,-3.06
6874,倍力,櫃,資訊服務業,0.78,16.5,26,20.8,20,4.11,19.1,-30.2,70.3,5,5.39,34.2,0.66,37.5,12.5
6875,國邑*,櫃,生技醫療業,0.94,59.4,25.3,-17.1,-11.7,-7.53,,105,10.3,-4,0,41.6,2.34,41.6,-8.02
6877,鏵友益,櫃,其他電子業,1.17,42.3,11,3.04,3.52,0.85,176,7,29.3,1,0.11,57.4,7.11,43.4,-0.09
6881,潤德,櫃,其他業,0.46,34.6,33.9,29.1,30.6,8.38,13.3,29.9,60.6,4,6.49,24.6,0.1,70,5.3
6894,衛司特,櫃,綠能環保,0.95,47.5,24.7,16.2,14.9,4.03,22.5,51.2,27.3,4,3.41,36.1,0.87,51.2,9.87
6895,宏碩系統,櫃,半導體業,1.32,86.4,22.7,12.6,10.8,2.34,87.4,111,19.3,4,0.91,61.1,2.28,37.5,7.77
6899,創為精密,櫃,光電業,0.37,21.9,25.3,10.7,9.76,0.86,17.1,21.9,23.2,3,4.7,18.8,5.18,51.7,2.36
6903,巨漢,櫃,其他電子業,0.99,90.3,35.9,48,34.3,3.9,22.3,-25.4,35.4,3,5.9,40.6,0.35,35.5,-5.4
6904,伯鑫,櫃,其他業,0.61,23,41.4,23.3,21.2,0.16,18.1,1.42,40.5,3,7.23,26.1,0.05,66.1,12.2
6913,鴻呈,櫃,電子零組件業,,63.8,31.1,22.5,17.6,2.5,31.4,28.5,41.9,4,1.38,,0.86,31.4,-8.85
6922,宸曜,櫃,電腦及週邊設備業,1.48,55.8,15.2,23.2,20.8,1.55,32.1,24,54.3,4,2.32,57,1.93,34.8,4.94
6925,意藍,櫃,數位雲端,,27.5,18.5,19.5,18.6,4.18,49.1,11.6,13.7,3,1.45,,0.09,63.1,-2.04
6929,佑全,櫃,生技醫療業,0.48,14.2,25.4,3.5,0.13,-0.6,,-1.5,63.9,-1,0,34,0.04,88.2,5.72
6953,家碩,櫃,半導體業,1.07,61.2,9.2,36.5,30,3.38,26.6,-8.62,38.3,3,2.94,38,0.11,54.5,-7.73
6967,汎瑋材料,櫃,電子零組件業,,14.4,33.5,13.8,12.6,2.59,19.9,-2.21,35.8,2,4.83,,0.12,53.4,5.51
6968,萬達寵物,櫃,居家生活,0.6,30.8,14.3,15.9,14.7,2.26,25.8,11.8,66.4,3,1.61,28.7,0.46,19.7,7.07
6982,大井泵浦,櫃,電機機械,,28.2,47.4,13.5,12.9,0.12,40.9,0.23,68,2,3,,1.27,60.3,-12.5
6996,力領科技,櫃,半導體業,,66,15.8,29.8,28.1,4.3,13.6,-16.9,18.7,2,8.03,,0.57,56.5,5.28
6997,博弘,櫃,數位雲端,,22.5,18.9,29.4,28.3,2.89,23.3,6.06,66.8,2,4.9,,20.2,65.9,2.47
7402,邑錡,櫃,光電業,1.11,52.5,21.9,10.3,8.78,-3.07,552,0.64,26.9,12,1.21,58.7,5.57,6.06,-0.36
7547,碩網,櫃,數位雲端,,31.9,26.3,7.5,8.74,2.73,41.5,11,16.6,6,1.39,,23.9,40.4,2.69
7556,意德士,櫃,半導體業,1.07,46.3,26.2,14.7,14.5,4.74,24.3,21.9,26.4,6,1.89,48.4,3.22,42.5,-3.14
7584,樂意,櫃,文化創意業,0.55,8.76,13.3,20.1,18.2,-3.02,19.2,9.85,41.3,5,7.52,37.3,15.5,52.5,-5.42
7642,昶瑞機電,櫃,電機機械,,33.2,14,36.5,28.8,2.2,20.2,0.53,37.9,2,4.55,,0.01,32.4,1.87
7703,銳澤,櫃,其他電子業,,82,17.8,25.7,18.8,5.06,27.3,39.1,30.7,2,2.33,,0.39,62.2,-3.38
7704,明遠精密,櫃,半導體業,,17,15,13.9,11.5,0.86,28.8,-12,14.8,2,4.48,,0.12,42.7,1.76
7708,全家餐飲,櫃,觀光餐旅,,25.4,15,14.1,14.7,4.23,17.7,13.7,50.6,2,4.52,,0.2,81.2,1.36
7709,榮田,櫃,電機機械,,15,38.3,10.9,11.4,-0.87,12.5,-24.8,30.1,2,6.01,,0,78.7,7.53
7712,博盛半導體,櫃,半導體業,,46.9,11.4,24.7,19.4,1.18,29.3,-5.81,31.5,2,2.78,,1.07,25.2,-13.3
7713,威力德生醫,櫃,生技醫療業,,33.2,22.4,23.5,21.3,4.71,18.5,7.59,48.9,2,4.62,,0,79.5,2.3
7714,創泓科技,櫃,數位雲端,,32.4,14.7,37.8,37.1,6.48,27.8,61.8,44.4,2,2.91,,0.48,69.6,8.25
7715,裕山,櫃,綠能環保,,12.4,31.9,21.2,19.7,3.39,8.02,-14.4,42.6,2,8,,0.4,43.7,35
7718,友鋮,櫃,鋼鐵工業,,22.4,24,23.6,21.5,-0.89,15,-2.22,30,2,7.24,,0.61,49.2,8.42
7723,築間,櫃,觀光餐旅,,19.1,4.8,45.2,31.5,-4.97,92,-12.6,74.8,3,5.31,,0.15,54.6,-1.33
7728,光焱科技,櫃,其他電子業,,42.3,16.6,32.6,33.5,0.34,58.3,-21.8,24.7,2,2.3,,0.34,62.5,6.52
7734,印能科技,櫃,半導體業,,304,18,39.5,34.7,2.62,38.1,38.2,23,2,2,,0.68,31.2,-111
7743,金利食安,櫃,食品工業,,9.61,14.3,10,10.3,-0.54,22.1,15.9,36.4,2,5.31,,2.83,45.1,0.7
7747,昕奇雲端,櫃,數位雲端,,39.5,7.9,19.1,19.7,4.72,33.2,15.1,43.3,2,2.39,,0.7,65.6,6.69
7751,竑騰,櫃,半導體業,,136,30.7,26.8,24.1,9.07,,51.4,55.6,2,1.97,,1.6,37.2,
7753,星亞,櫃,光電業,,13.3,4,30,26.5,6.33,,19.7,53.7,2,2.49,,0.02,70.5,
8024,佑華,櫃,半導體業,0.74,6.25,33.1,-0.31,-4.23,-7.84,,-31.2,6.95,-2,0,35.9,2.19,2.91,-1.16
8027,鈦昇,櫃,電機機械,1.43,104,30.9,4.7,1.64,-4.53,,-14.6,37,-1,0,49.4,2.24,1.97,-1.56
8032,光菱,櫃,電子通路業,1.31,24,38.1,6.19,5.42,-0.06,27.6,23.6,37.5,26,2.37,64.9,1.39,63.4,2.1
8034,榮群,櫃,通信網路業,0.99,14.1,33.4,9.07,9.57,4.15,18.5,92.7,23.8,4,3.22,43.3,2.44,0.59,4.53
8038,長園科,櫃,電子零組件業,1.09,33.2,28.1,-8.48,-10.8,3.21,,453,58.7,-25,0,58.7,0.57,6.76,-2.45
8040,九暘,櫃,半導體業,1.04,55.1,28.2,-1.42,-5.91,-0.85,,7.74,4.99,-2,0,35,1.45,43.5,-0.79
8042,金山電,櫃,電子零組件業,1.28,50.4,55.5,2.33,2.19,0.08,125,7.58,57.3,5,3.86,52,4.92,56,0.2
8043,蜜望實,櫃,電子零組件業,1.44,25.5,36.3,3.25,3.05,-1.4,,5.04,35.8,24,2.5,52.1,1.57,31.8,-1.62
8044,網家,櫃,數位雲端,0.97,65,27.2,-3.61,-4.66,-2.38,,-2.66,60.6,-3,0,48.7,7.57,44.8,-0.43
8047,星雲,櫃,其他電子業,1.06,7.33,36.4,-7.77,-7.13,-1.1,,-7.3,17.9,-3,0,56.4,2.14,23.7,0.18
8048,德勝,櫃,通信網路業,0.55,25.4,44.2,15.1,15,0.43,25.9,-8.68,26.1,20,5,26.4,1.39,22.6,2.19
8049,晶采,櫃,光電業,0.59,31,27.5,18.1,16.6,1.71,16.3,-0.73,20.3,12,7.62,20.5,2.98,22.7,3.82
8050,廣積,櫃,電腦及週邊設備業,1.06,105,25.6,10.5,8.5,-2.22,25.9,16.9,36.1,23,6.21,32,4.89,31.7,-1.3
8054,安國,櫃,半導體業,1.42,108,25.8,-3.27,-5.06,-2.51,,18.1,35.7,-1,0,54.9,6.04,13.8,-8.99
8059,凱碩,櫃,通信網路業,1.12,54.9,27.2,-6.36,-9.97,-20.1,,"1,667",83.8,-8,0,61.7,1.68,67.2,2.81
8064,東捷,櫃,光電業,1.41,71.9,27.4,7.63,6.56,-0.69,,-11.9,46.3,7,1.38,48.4,2.58,25.9,3.36
8066,來思達,櫃,居家生活,0.58,6.37,28.8,7.12,5.6,-6.51,,-5.12,56,-1,0,24,3.55,16.8,2.58
8067,志旭,櫃,電子通路業,0.64,2.52,36.5,-10.2,-9.67,-7.03,,5.34,64.7,-20,0,40.9,8.42,26.3,-0.73
8068,全達,櫃,電子通路業,1.22,17.9,28.3,4.13,7.4,8.8,10.4,1.77,28.5,-21,0,43.8,7.27,57,-2.91
8069,元太,櫃,光電業,1.12,"2,755",33.3,19.4,18,5.15,25.7,33.6,39.7,10,2.08,45.3,43.1,27.1,6.09
8071,能率網通,櫃,電子零組件業,1.23,11.4,32.2,-0.22,-1.87,-3.62,,-1.41,62.7,-2,0,45.9,3.32,28.8,0.46
8074,鉅橡,櫃,電子零組件業,1.02,23.9,29.6,10.4,8.18,0.68,32.5,3.88,53.5,17,3.38,46.8,3.3,21.3,-5.1
8076,伍豐,櫃,電腦及週邊設備業,0.96,73.9,30.7,6.66,6.97,2.05,,-20.9,36.4,14,4.35,31.1,5.34,1.47,1.25
8077,洛碁,櫃,觀光餐旅,0.41,9.68,31.2,-5.32,9.06,5.37,9.15,0.1,85,1,4.54,43.1,51.2,20.7,22.5
8080,泰霖,櫃,建材營造業,0.37,18.3,31.8,55.8,11.8,1.87,112,43.9,19.2,-11,0,42.6,0.05,71.7,-1.01
8083,瑞穎,櫃,電機機械,0.52,52.9,27.9,26.6,26.8,8.47,17.9,-9.4,44.8,24,6.64,18.8,1.91,26.3,7.76
8084,巨虹,櫃,電子通路業,0.96,29.8,31.8,16.5,16.3,-5.12,37,5.43,52.7,-19,0,42.3,1.16,7.26,-0.6
8085,福華,櫃,其他電子業,1.25,28.1,55.1,-1.53,-4.51,-4.16,,5.23,51.8,-2,0,48,4.66,31,-2.3
8086,宏捷科,櫃,半導體業,1.38,215,26.7,2.7,3.81,1.28,77.1,-26.7,21.8,2,1.09,46.9,6.1,34.4,5.71
8087,麗升能源,櫃,綠能環保,0.64,12.9,28.1,16.6,13.4,-2.85,,-72.3,58.4,2,3.03,37,2.68,22.4,-3.96
8088,品安,櫃,半導體業,1.09,23.4,31.6,11.5,8.32,-1.74,113,34.9,10.9,14,1.3,57.6,3.36,1.63,-2.1
8089,康全電訊,櫃,通信網路業,0.98,23.8,35.5,3.5,10.4,-7.19,9.6,-76.7,31,1,3.47,56,2.4,36.8,10.1
8091,翔名,櫃,半導體業,1.05,61.2,33.7,12.1,11.2,1.13,21.7,2.99,27.6,24,6.9,35.8,8.59,27.5,4.83
8092,建暐,櫃,其他電子業,0.82,9.06,41.3,-1.13,-2.67,-0.85,,-0.23,40.3,-18,0,43.7,1.37,21.5,-1.99
8093,保銳,櫃,電子零組件業,0.8,9.39,35.5,-27.3,-40.2,-5.23,,-24.9,31.8,-15,0,43.7,0,31.5,0.03
8096,擎亞,櫃,電子通路業,1.35,63.8,27.8,0.27,3.68,-2.86,15.7,31.2,68.3,1,1.17,60,21.4,2.25,-2.36
8097,常珵,櫃,通信網路業,0.54,45,39.3,10.3,3.8,-4.48,,56.8,13.8,-2,0,41.1,3.73,17.5,-2.11
8099,大世科,櫃,資訊服務業,0.78,73.9,25.4,13.1,13.3,2.75,38.5,32,47.7,25,0.96,38.2,2.99,68.3,5.22
8107,大億金茂,櫃,電機機械,0.99,12,27.7,2.3,3.42,-2.5,199,10.2,51.6,1,6.27,44.2,2.96,49,4.15
8109,博大,櫃,電子零組件業,0.41,82.2,33.3,23.6,21.4,2.86,18.6,6.67,19.2,22,4.5,25.6,1.73,11.7,9.69
8111,立碁,櫃,光電業,1.47,59.1,36.2,6.28,6.22,-4.56,452,8.45,39.7,7,1.66,64.6,17,10.6,0.71
8121,越峰,櫃,電子零組件業,1.27,63.2,34,-1.31,-0.62,-2.47,,-8.71,52.3,-13,0,51.4,0.93,49.2,-0.95
8147,正淩,櫃,電子零組件業,1.24,47.2,38.9,10.6,8.85,3.62,43.1,28.2,38.1,5,1.72,48.3,12.2,26.2,-5.74
8155,博智,櫃,電子零組件業,1.48,82,30.4,15.5,12.9,-0.38,48.2,37.6,52.1,14,2.59,53.2,5.1,41.5,-1.44
8171,天宇,櫃,綠能環保,0.87,31.9,42,1.17,-2.31,-11.6,,-77,25.4,-2,0,42.3,1.65,15.1,-3.55
8176,智捷,櫃,通信網路業,0.97,7.42,30.5,-1.68,1.17,-1.14,15,-0.6,22.8,-5,0,48,1.57,21.3,2.28
8182,加高,櫃,電子零組件業,0.85,28.2,48.8,6.11,6,-2.48,33.7,-3.77,40,21,7.6,25.8,51.5,8.89,0.31
8183,精星,櫃,其他電子業,1.17,36.9,34.8,17.8,15.6,-0.57,15.1,8.87,54.2,9,4.27,41.6,2.56,36.5,-2.39
8227,巨有科技,櫃,半導體業,1.44,64.3,34.1,14.1,12.6,-0.21,183,69,37.9,3,0.98,55.1,0.69,10.4,-1.7
8234,新漢,櫃,電腦及週邊設備業,1.37,125,32.8,12.1,7.45,-0.87,81.9,18.7,47.2,20,0.68,58.3,9,26.6,1.2
8240,華宏,櫃,光電業,1.14,38.7,52.1,6.23,6.26,0.62,13.4,0.87,37.1,7,4.13,51.1,7.83,45,5.49
8255,朋程,櫃,電機機械,1.16,150,26.8,8.69,8.62,0.08,22.3,10.6,41.3,21,2.85,41,9.1,31.4,-2.5
8272,全景軟體,櫃,資訊服務業,,17.4,27.4,19.9,18,4.26,21.4,22.1,30.6,2,2.61,,0.59,23.8,-3.34
8277,商丞,櫃,半導體業,1.08,11.7,31.3,-14.2,-15,-1.98,,0.2,25.6,-11,0,46.7,0.49,11.8,-0.01
8279,生展,櫃,生技醫療業,0.52,33.9,26.4,13.8,12.8,3.97,12.1,6.3,28.1,10,4,31.9,4.97,54.1,11.5
8284,三竹,櫃,資訊服務業,0.49,29.8,34.3,20.2,19.4,-0.88,15.6,5,41.4,8,6.21,20.8,0.9,21.5,0.9
8289,泰藝,櫃,電子零組件業,0.91,14.1,25.5,9.69,6.3,-2.04,,17,38.4,5,1.46,33,1.11,11.9,-5.31
8299,群聯,櫃,半導體業,1.1,"1,492",24.9,13.6,14.1,1.54,30,3.38,30.5,23,0.9,44.1,35.1,4.06,31.5
8342,益張,櫃,其他業,0.37,28.5,38.4,22.9,22.9,2.39,14.2,-1.08,42.8,17,5.88,20.8,0.22,68,5.28
8349,恒耀,櫃,鋼鐵工業,0.65,98.7,40.4,9.62,9.47,-0.1,18,-13.9,64.7,15,4.23,24.8,1.31,51.5,-5.69
8349A,恒耀甲特,櫃,鋼鐵工業,0.2,4.62,,,,,,,,5,4.12,7.76,,,
8354,冠好,櫃,其他業,0.37,11.3,33.2,4.4,4.71,-4.71,,-1.04,51.6,15,4.17,19.9,1.32,13.3,5.48
8358,金居,櫃,電子零組件業,1.37,582,27.3,13.1,12.9,2.5,68.6,11.2,22.6,8,0.65,57.1,6.41,11.8,0.88
8383,千附,櫃,半導體業,0.93,48.4,43.4,9.47,9.76,1.1,14.9,18.8,29.8,22,5.88,35.7,12.5,26.4,-2.05
8390,金益鼎,櫃,綠能環保,0.66,63.8,28.4,15.2,15.7,4.42,13.5,-5.43,24.6,18,3.77,37.7,1.63,21.7,6.34
8401,白紗科,櫃,其他業,0.51,20.3,25.5,13.4,14,4.33,10.8,-0.56,24.6,11,5.22,22.9,1.96,7.85,1.54
8403,盛弘,櫃,生技醫療業,0.55,34.3,21.9,3.52,3,0.34,20,0.99,42.1,5,2,17.5,1.81,31.3,2.99
8409,商之器,櫃,生技醫療業,0.62,7.22,37.7,-0.84,-0.93,-7.23,66.3,-0.04,40.4,-13,0,31.5,0.07,22.1,1.38
8410,森田,櫃,電腦及週邊設備業,0.2,15.6,53,9.83,12.2,-2.42,12.9,-0.21,22.5,16,7.03,31.8,0.53,45.1,2.08
8415,大國鋼,櫃,鋼鐵工業,0.42,348,18.2,13.3,11.3,1.59,14.3,1.2,40.5,12,4.45,25.4,12.4,70.2,3.06
8416,實威,櫃,資訊服務業,0.68,48.9,20.2,21.7,21.3,4.71,15.1,10.4,26.7,16,4.61,25.4,0.8,41,11.9
8421,旭源,櫃,其他業,0.66,6.93,20.9,21.6,10.5,-3.92,,-4.18,60.3,-2,0,33.7,1.91,27,0.98
8423,保綠-KY,櫃,綠能環保,0.51,7.47,15.9,6.57,5.71,0.86,40.7,1.1,35.8,14,3.35,20.8,25,11.5,-1.04
8424,惠普,櫃,建材營造業,0.25,26.5,43.8,15.3,15,4.59,14.5,7.07,20.6,16,5.99,13.9,0.44,56.7,5.49
8426,紅木-KY,櫃,其他業,0.81,14.5,15.1,20.4,23.2,-3.19,10.5,2.96,55.4,2,0,37.8,67.3,1.2,3.29
8431,匯鑽科,櫃,其他電子業,0.82,20,17,3.78,3.97,-1.23,73.7,12.9,31.9,5,0.22,41.5,4.71,29.7,0.59
8432,東生華,櫃,生技醫療業,0.62,20.1,15.1,6.76,7.35,1.96,17.6,22.3,14.8,15,4.05,25.2,2.04,60.3,5.06
8433,弘帆,櫃,居家生活,0.68,29.7,40.5,25,23.7,-7.36,17.1,-7.99,57.4,15,11.9,26.9,1.16,39.7,-3.06
8435,鉅邁,櫃,其他業,0.32,18.6,48.1,17.7,18,2.38,17,-12.9,22.5,16,7.67,19,1.05,23.5,1.08
8436,大江,櫃,生技醫療業,0.57,137,45.1,9.44,9.73,3.37,15.6,-3.01,40.4,15,8.58,32.9,15.3,29.2,9.87
8437,大地-KY,櫃,其他業,0.83,8.58,17.3,2.88,1.8,-0.4,38,-28.2,19.1,12,5.58,37.7,23.6,3.16,3.25
8440,綠電,櫃,綠能環保,0.96,13.6,27.1,6,5.51,0.1,151,2.62,14.7,13,0.62,35.5,3.21,37.6,0.77
8444,綠河-KY,櫃,其他業,0.93,15.6,14.7,-52.5,-57.8,24.8,,-30.6,89.7,-3,0,45.9,57.6,9.63,-4
8446,華研,櫃,文化創意業,0.51,52.5,26.4,25.1,27,8.11,8.44,-26.6,29.8,13,8.06,24.2,6.22,17.3,14.8
8450,霹靂,櫃,文化創意業,0.65,8.85,29.2,-14.4,-14.3,-12.9,,-15.4,55.5,-6,0,30.9,0.25,32.4,0.34
8455,大拓-KY,櫃,其他電子業,0.76,5.4,11.7,-4.31,-5.2,0.78,,-4.98,53.9,-2,0,47,87.8,0,0.92
8472,夠麻吉,櫃,數位雲端,0.62,13.6,15.2,-18.5,-19.5,-2.39,,38.6,74.3,-3,0,56,2.78,59.8,1.37
8477,創業家,櫃,數位雲端,0.6,8.15,13.4,-38.6,-40,1.69,,-51.7,24.3,-4,0,40.1,0.18,73.9,-5.63
8489,三貝德,櫃,其他業,0.75,16.7,18.9,-0.29,-0.26,-1.38,,-5.1,58.3,-3,0,45,6.63,15.8,1.7
8905,裕國,櫃,其他業,0.28,37.3,35.3,7.04,7.14,0.7,35.5,-0.91,23.3,23,3.21,20,0.4,71.4,-1.68
8906,花王,櫃,其他業,0.81,15.4,57.1,-3.49,-3.68,-1.09,,-9.74,81.2,1,0.29,43.5,1.06,30.9,-16.8
8908,欣雄,櫃,油電燃氣業,0.28,130,39.4,14.5,14.2,4.33,18.6,48.7,59.2,12,3.15,17.4,0.19,52.8,0.45
8916,光隆,櫃,其他業,0.46,75.4,59.6,12.7,11.5,1.96,20.6,-0.42,50.9,19,7.21,16.9,3.44,48.6,1.9
8917,欣泰,櫃,油電燃氣業,0.27,99.1,39.7,14.4,14.3,3.82,28.6,18,57.7,26,3.61,17.5,1.36,20.4,2.12
8921,沈氏,櫃,其他業,0.43,8.06,47.8,-0.05,-0.52,-0.45,,-0.33,23.3,25,1.27,47.7,0.19,59.6,-3.24
8923,時報,櫃,文化創意業,0.18,5.8,39.9,6.64,6.41,0.34,18.9,8.66,49.4,27,4.45,30,4.23,61.1,1.85
8924,大田,櫃,運動休閒,0.79,56.9,37.2,21.7,16.4,3.65,14.3,-16.5,29.3,8,6.33,28.9,4.44,21.9,3.04
8927,北基,櫃,油電燃氣業,0.37,156,36.8,5.8,7.64,0.28,171,-31.2,74.5,8,0.83,32.6,1.39,50.2,-10.8
8928,鉅明,櫃,運動休閒,0.63,12.9,52.2,12.2,10,-7.93,39.5,6.29,66.2,11,6.72,22.8,0.46,37.1,1.17
8929,富堡,櫃,其他業,0.8,9,48.1,-2.08,0.41,-2.19,,-11.4,33.3,-4,0,47.4,0.88,26.2,1.85
8930,青鋼,櫃,鋼鐵工業,0.73,25.5,43.1,16,16.4,1.79,13.4,-5.59,32.5,9,8.97,26.2,2.9,31,3.04
8931,大汽電,櫃,油電燃氣業,0.47,65.8,32.1,14.6,14,4.15,19.4,2.19,60.5,23,3.72,17.8,0.21,73.7,0.09
8932,智通*,櫃,其他業,0.9,380,47.6,11.8,18.3,8.83,72.3,67.8,27.6,2,0.13,44.1,27.6,25.4,2.63
8933,愛地雅,櫃,運動休閒,0.79,19.9,45,-2.79,-7.26,-8.13,,0.4,52.4,-8,0,31.9,0.8,30.5,0.22
8935,邦泰,櫃,其他業,0.58,30.4,42.7,-4.28,-6.52,-1.84,,-2.65,38.6,-27,0,57.4,0.55,25,-0.22
8936,國統,櫃,其他業,0.72,130,47.2,10.7,11.2,2.93,15.3,12.5,41.1,7,3.82,32.6,7.25,11.4,-0.77
8937,合騏,櫃,其他業,0.79,168,49.9,2.99,3.21,-9.01,,-50.7,26.7,1,0.06,61.8,0.26,44.5,-4.86
8938,明安,櫃,運動休閒,0.82,95.3,38.2,16.2,12.8,-4.44,14.5,9.2,44.4,24,6.74,26.5,7.13,39,-3.79
8941,關中,櫃,居家生活,0.5,15.8,49.5,19.9,18.7,-4.17,17.4,-4.99,52.9,11,0,24.1,1.81,66,7.08
8942,森鉅,櫃,其他業,0.71,78,31,13.2,12.4,-1.24,14,4.71,28.9,25,3.82,24.4,13.7,11.3,1.29
9949,琉園,櫃,文化創意業,0.36,8.7,31.5,-10.4,-11.5,-12.4,,-19.5,62.9,-10,0,34.9,2.14,23.3,2.84
9950,萬國通,櫃,塑膠工業,0.79,17.3,46.4,21.7,35.1,-5.1,,-16.5,65.8,-9,0,32.4,0.05,24.8,1.79
9951,皇田,櫃,電機機械,0.79,44,42.2,11.2,10.6,0.71,14.3,16.8,39,16,3.94,29.2,4.87,27.5,4.82
9960,邁達康,櫃,運動休閒,0.52,7.17,25.6,15.2,13.4,0.19,14,-6.34,42.5,7,7.96,20.1,8.84,32.8,4.75
9962,有益,櫃,鋼鐵工業,0.72,10,29.6,11.2,9.03,-2.35,79.3,-18.7,31.2,4,4.5,28.5,0.36,19.7,1.09
